# Overall Benchmark -- 2026-05-27 17:16:28  nodes=50  runs_per_algo=20
algorithm,config,runs,median_initial,median_final,gain_pct,best_run_final,worst_run_final,per_run_initial_costs,per_run_final_costs,initial_route,best_route
"Hill Climbing","-",20,13452.5000,4220.0000,68.6304,3574.0000,5564.0000,"13752.00;12657.00;14835.00;14033.00;13345.00;11709.00;12213.00;12853.00;13187.00;13904.00;13625.00;12729.00;12966.00;13154.00;13560.00;14011.00;14673.00;13581.00;12698.00;13846.00","3950.00;4338.00;4135.00;4251.00;4649.00;4442.00;3607.00;5564.00;4821.00;4430.00;4129.00;4661.00;5168.00;3634.00;3996.00;4189.00;4070.00;3574.00;5418.00;4012.00","0;41;49;14;36;5;32;13;25;20;3;35;34;42;9;47;48;10;29;23;44;33;26;40;31;43;28;7;12;30;1;6;21;2;15;27;39;18;22;38;8;16;19;17;11;45;4;24;37;46","0;10;15;14;8;9;11;13;12;20;34;35;42;45;46;47;48;49;43;44;30;31;32;33;27;29;28;26;25;3;7;6;5;4;41;40;39;38;37;36;23;16;17;18;19;21;22;24;2;1"
"HC with Tries","t_max=5",20,13432.5000,4324.5000,67.8057,3871.0000,5102.0000,"14135.00;13158.00;13654.00;14220.00;11985.00;13726.00;12574.00;13125.00;13430.00;13192.00;14610.00;12276.00;13815.00;13435.00;13342.00;14727.00;14110.00;13914.00;12560.00;12054.00","4189.00;3967.00;4001.00;5102.00;4366.00;4437.00;4519.00;4687.00;4773.00;4464.00;4244.00;4403.00;4283.00;4608.00;4045.00;4089.00;3871.00;4241.00;3930.00;4900.00","0;24;33;28;43;34;8;49;21;25;2;20;40;14;32;6;29;35;26;16;46;1;37;31;23;17;3;18;19;39;4;45;42;13;48;9;11;41;44;12;5;36;10;15;22;7;27;47;38;30","0;1;2;16;17;18;8;9;21;23;22;34;42;43;31;30;29;28;26;3;4;5;6;7;25;24;27;33;32;44;45;46;47;48;49;41;12;13;14;15;10;11;19;20;35;40;39;38;37;36"
"Simulated Annealing","TI=1000.0000,TF=0.0010,FR=0.9950",20,13055.5000,4643.5000,64.4326,3700.0000,5298.0000,"12783.00;11821.00;13239.00;14613.00;14203.00;12505.00;14966.00;13612.00;13698.00;12299.00;12575.00;12608.00;14074.00;13218.00;13259.00;12778.00;12893.00;12665.00;13482.00;12338.00","4970.00;3700.00;4752.00;5107.00;4323.00;5298.00;4641.00;4658.00;4238.00;4439.00;5152.00;5295.00;4701.00;4956.00;4395.00;4193.00;4457.00;4222.00;4443.00;4646.00","0;4;47;41;13;3;1;49;29;48;46;9;38;26;5;20;42;30;15;12;7;22;19;40;17;14;10;25;11;43;44;45;28;2;31;6;27;35;39;37;33;16;32;24;23;18;34;8;21;36","0;6;7;2;16;17;40;38;37;36;35;41;34;21;20;9;8;12;11;13;14;15;10;19;18;25;24;23;22;26;27;28;33;31;49;48;47;46;45;44;32;29;30;43;42;39;3;4;5;1"
"Genetic Algorithm","pop=200,gen=500,mut=8.0%,tour=3,elite=10.0%,breed=80.0%,stag=75",20,13753.5000,2752.0000,79.9905,2566.0000,2928.0000,"13723.00;12955.00;14598.00;13000.00;13947.00;12383.00;13784.00;13596.00;13270.00;11853.00;14049.00;13789.00;13986.00;13138.00;15220.00;14032.00;13602.00;15545.00;12574.00;14370.00","2794.00;2710.00;2730.00;2696.00;2668.00;2926.00;2851.00;2738.00;2766.00;2736.00;2826.00;2711.00;2669.00;2914.00;2876.00;2928.00;2816.00;2839.00;2566.00;2673.00","0;40;36;37;13;45;28;25;11;26;32;20;14;21;1;49;23;41;22;29;31;46;5;35;30;7;10;34;39;43;27;42;4;8;16;3;2;48;47;19;9;6;17;24;44;38;12;18;33;15","0;1;17;18;19;11;12;13;14;15;10;8;9;20;21;34;35;41;40;36;37;38;39;42;43;49;48;47;46;45;44;31;30;29;28;27;33;32;26;22;23;24;25;16;2;3;7;6;5;4"
